der Abend,noč
du,ti
gut,dobro
Hallo,živjo
Hi,živjo
ich,jaz
ihr,mi
ja,ja
der Morgen,jutro
der Name,ime
nein,ne
sein,njegov
der Tag,dan
und,in
wer,kdo
wie,kako
wir,mi
in,v
wo,kje
der Monat,mesec
aber,ampak
das Alter,starost
auch,tudi
aus,iz
die Band,glasbena skupina
das Computerspiel,računalniška igrica
die E-Mail,e-mail
das Englisch,angleščina
der Fan,oboževalec
das Französisch,francoščina
der Freund,prijatelj
die Freundin,prijateljica
beste Freundin,najboljša prijateljica
der Fußball,nogomet
gern,rad
die Gitarre,kitara
das Handy,mobilni telefon
das Hobby,konjiček (hobij)
im Internet Surfen,brskati po internetu
immer,vedno
das Jahr,leto
kein,ne (govorim)
das Klavier,klavir
kommen,prihajam (iz)
das Konzert,koncert
der Nachname,prvo ime
die Schule,šola
der Vorname,drugo (priimek)
der Wohnort,dom
falsch,narobe
due Flöte,flavta
das Instrument,inštrument
jetzt,sedaj
richting,pravilno
der Sport,šport
das Squash,squash
das Yoga,joga
bald,kmalu
bis bald,se vidiva
bis,do (kdaj)
die Frau,gospa
der Herr,gospod
das Museum,muzej
schön,lep
Servus,ajde
Tschüs,adijo
Auf Wiedershen,nasvidenje
